DMA,city,state
506,Boston (Manchester),MA
521,Providence - New Bedford,MA
543,Springfield - Holyoke,MA
512,Baltimore,MD
576,Salisbury,MD
537,Bangor,ME
500,Portland - Auburn,ME
552,Presque Isle,ME
583,Alpena,MI
505,Detroit,MI
563,Grand Rapids - Kalmzoo - B. Crk,MI
551,Lansing,MI
553,Marquette,MI
540,Traverse City - Cadillac,MI
676,Duluth - Superior,MN
737,Mankato,MN
613,Minneapolis - St. Paul,MN
746,Biloxi - Gulfport,MO
604,Columbia - Jefferson City,MO
673,Columbus - Tupelo - West Point,MO
513,Flint - Saginaw - Bay City,MO
718,"Jackson, MS",MO
603,Joplin - Pittsburg,MO
616,Kansas City,MO
619,"Springfield, MO",MO
638,St. Joseph,MO
609,St. Louis,MO
710,Hattiesburg - Laurel,MS
756,Billings,MT
754,Butte - Bozeman,MT
798,Glendive,MT
755,Great Falls,MT
766,Helena,MT
762,Missoula,MT
517,Charlotte,NC
518,Greensboro - H. Point - W. Salem,NC
545,Greenville - N. Bern - Washngtn,NC
567,Greenvll - Spart - Ashevll - And,NC
560,Raleigh - Durham (Fayetvlle),NC
724,Fargo - Valley City,ND
687,Minot - Bismarck - Dickinson,ND
759,Cheyenne - Scottsbluf,NE
722,Lincoln & Hstngs - Krny,NE
740,North Platte,NE
652,Omaha,NE
790,Albuquerque - Santa Fe,NM
765,El Paso (Las Cruces),NM
839,Las Vegas,NV
811,Reno,NV
532,Albany - Schenectady - Troy,NY
502,Binghamton,NY
514,Buffalo,NY
523,Burlington - Plattsburgh,NY
565,Elmira (Corning),NY
501,New York,NY
555,Syracuse,NY
549,Watertown,NY
736,Bowling Green,OH
515,Cincinnati,OH
510,Cleveland - Akron (Canton),OH
535,"Columbus, OH",OH
542,Dayton,OH
558,Lima,OH
547,Toledo,OH
554,Wheeling - Steubenville,OH
536,Youngstown,OH
596,Zanesville,OH
650,Oklahoma City,OK
657,Sherman - Ada,OK
671,Tulsa,OK
627,Wichita Falls & Lawton,OK
821,"Bend, OR",OR
801,Eugene,OR
813,Medford - Klamath Falls,OR
820,"Portland, OR",OR
516,Erie,PA
566,Harrisburg - Lncstr - Leb - York,PA
574,Johnstown - Altoona,PA
504,Philadelphia,PA
508,Pittsburgh,PA
577,Wilkes Barre - Scranton,PA
519,"Charleston, SC",SC
546,"Columbia, SC",SC
647,Greenwood - Greenville,SC
570,Myrtle Beach - Florence,SC
764,Rapid City,SD
725,Sioux Falls (Mitchell),SD
575,Chattanooga,TN
639,"Jackson, TN",TN
557,Knoxville,TN
640,Memphis,TN
659,Nashville,TN
531,"Tri - Cities, TN - VA",TN
662,Abilene - Sweetwater,TX
634,Amarillo,TX
635,Austin,TX
692,Beaumont - Port Arthur,TX
600,Corpus Christi,TX
623,Dallas - Ft. Worth,TX
636,Harlingen - Wslco - Brnsvl - Mca,TX
618,Houston,TX
749,Laredo,TX
651,Lubbock,TX
633,Odessa - Midland,TX
661,San Angelo,TX
641,San Antonio,TX
709,Tyler - Longview (Lfkn & Ncgd),TX
626,Victoria,TX
625,Waco - Temple - Bryan,TX
770,Salt Lake City,UT
526,Utica,UT
584,Charlottesville,VA
569,Harrisonburg,VA
544,Norfolk - Portsmth - Newpt Nws,VA
556,Richmond - Petersburg,VA
573,Roanoke - Lynchburg,VA
819,Seattle - Tacoma,WA
881,Spokane,WA
810,Yakima - Pasco - Rchlnd - Knnwck,WA
658,Green Bay - Appleton,WI
702,La Crosse - Eau Claire,WI
669,Madison,WI
617,Milwaukee,WI
705,Wausau - Rhinelander,WI
559,Bluefield - Beckley - Oak Hill,WV
564,Charleston - Huntington,WV
598,Clarksburg - Weston,WV
597,Parkersburg,WV
767,Casper - Riverton,WY
